day	app	value
12_02/27/2020	Acrobat Pro DC	11.37835
12_02/27/2020	Adobe After Effects	0
12_02/27/2020	Adobe Illustrator 2020	0
12_02/27/2020	Adobe InDesign	0
12_02/27/2020	Adobe Media Encoder 2020	0
12_02/27/2020	Adobe Photoshop	2.908383333
12_02/27/2020	Adobe Premiere Pro 2020	0
12_02/27/2020	Adobe XD	0
12_02/27/2020	GitHub Desktop	0
12_02/27/2020	Microsoft Excel	0
12_02/27/2020	Microsoft Teams	0
12_02/27/2020	Microsoft Word	75.60313333
12_02/27/2020	Safari	85.86845
12_02/27/2020	Skype	0
12_02/27/2020	Spotify	0
12_02/27/2020	Sublime Text	86.96253333
12_02/27/2020	WhatsApp	0
12_02/27/2020	zoom.us	0
13_02/28/2020	Acrobat Pro DC	0
13_02/28/2020	Adobe After Effects	0
13_02/28/2020	Adobe Illustrator 2020	0
13_02/28/2020	Adobe InDesign	0
13_02/28/2020	Adobe Media Encoder 2020	0
13_02/28/2020	Adobe Photoshop	0
13_02/28/2020	Adobe Premiere Pro 2020	0
13_02/28/2020	Adobe XD	0
13_02/28/2020	GitHub Desktop	0
13_02/28/2020	Microsoft Excel	0
13_02/28/2020	Microsoft Teams	0
13_02/28/2020	Microsoft Word	50.2941
13_02/28/2020	Safari	39.2899
13_02/28/2020	Skype	0
13_02/28/2020	Spotify	0
13_02/28/2020	Sublime Text	0
13_02/28/2020	WhatsApp	0
13_02/28/2020	zoom.us	0
14_02/29/2020	Acrobat Pro DC	0
14_02/29/2020	Adobe After Effects	0
14_02/29/2020	Adobe Illustrator 2020	0
14_02/29/2020	Adobe InDesign	0
14_02/29/2020	Adobe Media Encoder 2020	0
14_02/29/2020	Adobe Photoshop	0
14_02/29/2020	Adobe Premiere Pro 2020	0
14_02/29/2020	Adobe XD	0
14_02/29/2020	GitHub Desktop	0
14_02/29/2020	Microsoft Excel	0
14_02/29/2020	Microsoft Teams	0
14_02/29/2020	Microsoft Word	73.83305
14_02/29/2020	Safari	21.9132
14_02/29/2020	Skype	0
14_02/29/2020	Spotify	0
14_02/29/2020	Sublime Text	0
14_02/29/2020	WhatsApp	0
14_02/29/2020	zoom.us	0
15_03/01/2020	Acrobat Pro DC	0
15_03/01/2020	Adobe After Effects	49.36388333
15_03/01/2020	Adobe Illustrator 2020	0
15_03/01/2020	Adobe InDesign	0
15_03/01/2020	Adobe Media Encoder 2020	7.896783333
15_03/01/2020	Adobe Photoshop	13.1368
15_03/01/2020	Adobe Premiere Pro 2020	0
15_03/01/2020	Adobe XD	0
15_03/01/2020	GitHub Desktop	0
15_03/01/2020	Microsoft Excel	0
15_03/01/2020	Microsoft Teams	0
15_03/01/2020	Microsoft Word	164.9935667
15_03/01/2020	Safari	33.52565
15_03/01/2020	Skype	0
15_03/01/2020	Spotify	0
15_03/01/2020	Sublime Text	0
15_03/01/2020	WhatsApp	0
15_03/01/2020	zoom.us	0
16_03/02/2020	Acrobat Pro DC	0.1741166667
16_03/02/2020	Adobe After Effects	0
16_03/02/2020	Adobe Illustrator 2020	0
16_03/02/2020	Adobe InDesign	0
16_03/02/2020	Adobe Media Encoder 2020	0
16_03/02/2020	Adobe Photoshop	39.9016
16_03/02/2020	Adobe Premiere Pro 2020	0
16_03/02/2020	Adobe XD	0
16_03/02/2020	GitHub Desktop	0
16_03/02/2020	Microsoft Excel	0
16_03/02/2020	Microsoft Teams	0
16_03/02/2020	Microsoft Word	255.9574167
16_03/02/2020	Safari	43.76448333
16_03/02/2020	Skype	0
16_03/02/2020	Spotify	0
16_03/02/2020	Sublime Text	0
16_03/02/2020	WhatsApp	0
16_03/02/2020	zoom.us	0
17_03/03/2020	Acrobat Pro DC	0
17_03/03/2020	Adobe After Effects	0
17_03/03/2020	Adobe Illustrator 2020	0
17_03/03/2020	Adobe InDesign	0
17_03/03/2020	Adobe Media Encoder 2020	0
17_03/03/2020	Adobe Photoshop	0
17_03/03/2020	Adobe Premiere Pro 2020	0
17_03/03/2020	Adobe XD	0
17_03/03/2020	GitHub Desktop	0
17_03/03/2020	Microsoft Excel	0
17_03/03/2020	Microsoft Teams	0
17_03/03/2020	Microsoft Word	371.4490167
17_03/03/2020	Safari	149.4692167
17_03/03/2020	Skype	0
17_03/03/2020	Spotify	0
17_03/03/2020	Sublime Text	0
17_03/03/2020	WhatsApp	0
17_03/03/2020	zoom.us	0
18_03/04/2020	Acrobat Pro DC	0
18_03/04/2020	Adobe After Effects	0
18_03/04/2020	Adobe Illustrator 2020	0
18_03/04/2020	Adobe InDesign	0
18_03/04/2020	Adobe Media Encoder 2020	0
18_03/04/2020	Adobe Photoshop	0.7483333333
18_03/04/2020	Adobe Premiere Pro 2020	0
18_03/04/2020	Adobe XD	0
18_03/04/2020	GitHub Desktop	0
18_03/04/2020	Microsoft Excel	0
18_03/04/2020	Microsoft Teams	0
18_03/04/2020	Microsoft Word	91.7645
18_03/04/2020	Safari	229.5741333
18_03/04/2020	Skype	0
18_03/04/2020	Spotify	1.044133333
18_03/04/2020	Sublime Text	0
18_03/04/2020	WhatsApp	0
18_03/04/2020	zoom.us	0
19_03/05/2020	Acrobat Pro DC	0
19_03/05/2020	Adobe After Effects	0
19_03/05/2020	Adobe Illustrator 2020	0
19_03/05/2020	Adobe InDesign	0
19_03/05/2020	Adobe Media Encoder 2020	0
19_03/05/2020	Adobe Photoshop	0
19_03/05/2020	Adobe Premiere Pro 2020	0
19_03/05/2020	Adobe XD	0
19_03/05/2020	GitHub Desktop	0
19_03/05/2020	Microsoft Excel	0
19_03/05/2020	Microsoft Teams	0
19_03/05/2020	Microsoft Word	44.76763333
19_03/05/2020	Safari	128.40965
19_03/05/2020	Skype	0
19_03/05/2020	Spotify	0
19_03/05/2020	Sublime Text	184.5786333
19_03/05/2020	WhatsApp	0
19_03/05/2020	zoom.us	0
20_03/07/2020	Acrobat Pro DC	0
20_03/07/2020	Adobe After Effects	0
20_03/07/2020	Adobe Illustrator 2020	0
20_03/07/2020	Adobe InDesign	34.7673
20_03/07/2020	Adobe Media Encoder 2020	0
20_03/07/2020	Adobe Photoshop	48.31506667
20_03/07/2020	Adobe Premiere Pro 2020	0
20_03/07/2020	Adobe XD	0
20_03/07/2020	GitHub Desktop	0
20_03/07/2020	Microsoft Excel	0
20_03/07/2020	Microsoft Teams	0
20_03/07/2020	Microsoft Word	0
20_03/07/2020	Safari	51.01663333
20_03/07/2020	Skype	0
20_03/07/2020	Spotify	0
20_03/07/2020	Sublime Text	0
20_03/07/2020	WhatsApp	0
20_03/07/2020	zoom.us	0
21_03/08/2020	Acrobat Pro DC	0.2616166667
21_03/08/2020	Adobe After Effects	2.5485
21_03/08/2020	Adobe Illustrator 2020	0
21_03/08/2020	Adobe InDesign	0
21_03/08/2020	Adobe Media Encoder 2020	0
21_03/08/2020	Adobe Photoshop	24.24171667
21_03/08/2020	Adobe Premiere Pro 2020	0
21_03/08/2020	Adobe XD	0
21_03/08/2020	GitHub Desktop	0
21_03/08/2020	Microsoft Excel	0
21_03/08/2020	Microsoft Teams	0
21_03/08/2020	Microsoft Word	0
21_03/08/2020	Safari	1.44865
21_03/08/2020	Skype	0
21_03/08/2020	Spotify	0
21_03/08/2020	Sublime Text	0
21_03/08/2020	WhatsApp	0
21_03/08/2020	zoom.us	0
22_03/09/2020	Acrobat Pro DC	0.5492666667
22_03/09/2020	Adobe After Effects	0
22_03/09/2020	Adobe Illustrator 2020	0
22_03/09/2020	Adobe InDesign	0
22_03/09/2020	Adobe Media Encoder 2020	0
22_03/09/2020	Adobe Photoshop	7.197016667
22_03/09/2020	Adobe Premiere Pro 2020	0
22_03/09/2020	Adobe XD	0
22_03/09/2020	GitHub Desktop	0
22_03/09/2020	Microsoft Excel	0
22_03/09/2020	Microsoft Teams	0
22_03/09/2020	Microsoft Word	8.91495
22_03/09/2020	Safari	106.0039
22_03/09/2020	Skype	0
22_03/09/2020	Spotify	4.902383333
22_03/09/2020	Sublime Text	207.1008667
22_03/09/2020	WhatsApp	0
22_03/09/2020	zoom.us	0
23_03/10/2020	Acrobat Pro DC	0
23_03/10/2020	Adobe After Effects	0
23_03/10/2020	Adobe Illustrator 2020	0
23_03/10/2020	Adobe InDesign	0
23_03/10/2020	Adobe Media Encoder 2020	0
23_03/10/2020	Adobe Photoshop	15.91076667
23_03/10/2020	Adobe Premiere Pro 2020	0
23_03/10/2020	Adobe XD	0
23_03/10/2020	GitHub Desktop	0
23_03/10/2020	Microsoft Excel	0
23_03/10/2020	Microsoft Teams	0
23_03/10/2020	Microsoft Word	0
23_03/10/2020	Safari	38.58893333
23_03/10/2020	Skype	0
23_03/10/2020	Spotify	0.007166666667
23_03/10/2020	Sublime Text	0
23_03/10/2020	WhatsApp	0
23_03/10/2020	zoom.us	0
24_03/11/2020	Acrobat Pro DC	0
24_03/11/2020	Adobe After Effects	0
24_03/11/2020	Adobe Illustrator 2020	0
24_03/11/2020	Adobe InDesign	0
24_03/11/2020	Adobe Media Encoder 2020	0
24_03/11/2020	Adobe Photoshop	0
24_03/11/2020	Adobe Premiere Pro 2020	0
24_03/11/2020	Adobe XD	0
24_03/11/2020	GitHub Desktop	0
24_03/11/2020	Microsoft Excel	0
24_03/11/2020	Microsoft Teams	0
24_03/11/2020	Microsoft Word	0
24_03/11/2020	Safari	99.78745
24_03/11/2020	Skype	0
24_03/11/2020	Spotify	0
24_03/11/2020	Sublime Text	0
24_03/11/2020	WhatsApp	0
24_03/11/2020	zoom.us	0
25_03/12/2020	Acrobat Pro DC	0
25_03/12/2020	Adobe After Effects	0
25_03/12/2020	Adobe Illustrator 2020	0
25_03/12/2020	Adobe InDesign	0
