day	app	value
12_02/27/2020	Adobe After Effects CC 2019 (16.1.1)	0
12_02/27/2020	Adobe Illustrator 2019	0
12_02/27/2020	Adobe Premiere Pro CC 2019	0
12_02/27/2020	Anteprima	0
12_02/27/2020	Finder	36
12_02/27/2020	Foto	0
12_02/27/2020	Google Chrome	0
12_02/27/2020	InDesign	0
12_02/27/2020	Photoshop CC	12
12_02/27/2020	QuickTime Player	0
12_02/27/2020	Safari	110
12_02/27/2020	Skype	0
12_02/27/2020	Sublime Text	100
12_02/27/2020	Telegram	0
12_02/27/2020	TextEdit	0
12_02/27/2020	WhatsApp	0
13_02/28/2020	Adobe After Effects CC 2019 (16.1.1)	0
13_02/28/2020	Adobe Illustrator 2019	0
13_02/28/2020	Adobe Premiere Pro CC 2019	0
13_02/28/2020	Anteprima	0
13_02/28/2020	Finder	13
13_02/28/2020	Foto	0
13_02/28/2020	Google Chrome	0
13_02/28/2020	InDesign	0
13_02/28/2020	Photoshop CC	1
13_02/28/2020	QuickTime Player	227
13_02/28/2020	Safari	168
13_02/28/2020	Skype	0
13_02/28/2020	Sublime Text	0
13_02/28/2020	Telegram	1
13_02/28/2020	TextEdit	0
13_02/28/2020	WhatsApp	0
14_02/29/2020	Adobe After Effects CC 2019 (16.1.1)	0
14_02/29/2020	Adobe Illustrator 2019	0
14_02/29/2020	Adobe Premiere Pro CC 2019	0
14_02/29/2020	Anteprima	0
14_02/29/2020	Finder	3
14_02/29/2020	Foto	0
14_02/29/2020	Google Chrome	0
14_02/29/2020	InDesign	0
14_02/29/2020	Photoshop CC	61
14_02/29/2020	QuickTime Player	19
14_02/29/2020	Safari	40
14_02/29/2020	Skype	0
14_02/29/2020	Sublime Text	0
14_02/29/2020	Telegram	5
14_02/29/2020	TextEdit	0
14_02/29/2020	WhatsApp	0
15_03/01/2020	Adobe After Effects CC 2019 (16.1.1)	0
15_03/01/2020	Adobe Illustrator 2019	0
15_03/01/2020	Adobe Premiere Pro CC 2019	0
15_03/01/2020	Anteprima	1
15_03/01/2020	Finder	2
15_03/01/2020	Foto	0
15_03/01/2020	Google Chrome	0
15_03/01/2020	InDesign	0
15_03/01/2020	Photoshop CC	0
15_03/01/2020	QuickTime Player	0
15_03/01/2020	Safari	14
15_03/01/2020	Skype	0
15_03/01/2020	Sublime Text	0
15_03/01/2020	Telegram	0
15_03/01/2020	TextEdit	0
15_03/01/2020	WhatsApp	0
16_03/02/2020	Adobe After Effects CC 2019 (16.1.1)	0
16_03/02/2020	Adobe Illustrator 2019	0
16_03/02/2020	Adobe Premiere Pro CC 2019	0
16_03/02/2020	Anteprima	2
16_03/02/2020	Finder	180
16_03/02/2020	Foto	5
16_03/02/2020	Google Chrome	0
16_03/02/2020	InDesign	0
16_03/02/2020	Photoshop CC	17
16_03/02/2020	QuickTime Player	129
16_03/02/2020	Safari	130
16_03/02/2020	Skype	0
16_03/02/2020	Sublime Text	0
16_03/02/2020	Telegram	0
16_03/02/2020	TextEdit	0
16_03/02/2020	WhatsApp	0
17_03/03/2020	Adobe After Effects CC 2019 (16.1.1)	0
17_03/03/2020	Adobe Illustrator 2019	0
17_03/03/2020	Adobe Premiere Pro CC 2019	0
17_03/03/2020	Anteprima	11
17_03/03/2020	Finder	16
17_03/03/2020	Foto	0
17_03/03/2020	Google Chrome	7
17_03/03/2020	InDesign	0
17_03/03/2020	Photoshop CC	0
17_03/03/2020	QuickTime Player	175
17_03/03/2020	Safari	225
17_03/03/2020	Skype	0
17_03/03/2020	Sublime Text	0
17_03/03/2020	Telegram	12
17_03/03/2020	TextEdit	0
17_03/03/2020	WhatsApp	1
18_03/04/2020	Adobe After Effects CC 2019 (16.1.1)	0
18_03/04/2020	Adobe Illustrator 2019	0
18_03/04/2020	Adobe Premiere Pro CC 2019	0
18_03/04/2020	Anteprima	0
18_03/04/2020	Finder	7
18_03/04/2020	Foto	0
