day	app	value
26_03/20/2020	01_Safari	35
26_03/20/2020	02_InDesign	0
26_03/20/2020	03_Finder	0
26_03/20/2020	04_Sublime Text	8
26_03/20/2020	05_Skype	0
26_03/20/2020	06_Microsoft Word	0
26_03/20/2020	07_Microsoft Teams	0
26_03/20/2020	08_WhatsApp	0
26_03/20/2020	09_Adobe Premiere Pro 2020	0
26_03/20/2020	10_zoom.us	0
26_03/20/2020	11_Photoshop	0
26_03/20/2020	12_Adobe After Effects	0
26_03/20/2020	13_Sparkle	0
26_03/20/2020	14_Mail	0
26_03/20/2020	15_Acrobat Pro DC	0
26_03/20/2020	16_Adobe Illustrator 2020	0
26_03/20/2020	17_QuickTime Player	0
27_03/21/2020	01_Safari	117
27_03/21/2020	02_InDesign	0
27_03/21/2020	03_Finder	0
27_03/21/2020	04_Sublime Text	0
27_03/21/2020	05_Skype	0
27_03/21/2020	06_Microsoft Word	1
27_03/21/2020	07_Microsoft Teams	0
27_03/21/2020	08_WhatsApp	0
27_03/21/2020	09_Adobe Premiere Pro 2020	0
27_03/21/2020	10_zoom.us	0
27_03/21/2020	11_Photoshop	0
27_03/21/2020	12_Adobe After Effects	0
27_03/21/2020	13_Sparkle	0
27_03/21/2020	14_Mail	0
27_03/21/2020	15_Acrobat Pro DC	0
27_03/21/2020	16_Adobe Illustrator 2020	0
27_03/21/2020	17_QuickTime Player	0
28_03/22/2020	01_Safari	97
28_03/22/2020	02_InDesign	0
28_03/22/2020	03_Finder	68
28_03/22/2020	04_Sublime Text	0
28_03/22/2020	05_Skype	0
28_03/22/2020	06_Microsoft Word	0
28_03/22/2020	07_Microsoft Teams	21
28_03/22/2020	08_WhatsApp	8
28_03/22/2020	09_Adobe Premiere Pro 2020	0
28_03/22/2020	10_zoom.us	0
28_03/22/2020	11_Photoshop	0
28_03/22/2020	12_Adobe After Effects	0
28_03/22/2020	13_Sparkle	0
28_03/22/2020	14_Mail	16
28_03/22/2020	15_Acrobat Pro DC	17
28_03/22/2020	16_Adobe Illustrator 2020	0
28_03/22/2020	17_QuickTime Player	0
29_03/23/2020	01_Safari	39
29_03/23/2020	02_InDesign	0
29_03/23/2020	03_Finder	12
29_03/23/2020	04_Sublime Text	12
29_03/23/2020	05_Skype	0
29_03/23/2020	06_Microsoft Word	3
29_03/23/2020	07_Microsoft Teams	0
29_03/23/2020	08_WhatsApp	79
29_03/23/2020	09_Adobe Premiere Pro 2020	0
29_03/23/2020	10_zoom.us	0
29_03/23/2020	11_Photoshop	0
29_03/23/2020	12_Adobe After Effects	0
29_03/23/2020	13_Sparkle	0
29_03/23/2020	14_Mail	1
29_03/23/2020	15_Acrobat Pro DC	46
29_03/23/2020	16_Adobe Illustrator 2020	0
29_03/23/2020	17_QuickTime Player	0
30_03/24/2020	01_Safari	178
30_03/24/2020	02_InDesign	0
30_03/24/2020	03_Finder	24
30_03/24/2020	04_Sublime Text	70
30_03/24/2020	05_Skype	0
30_03/24/2020	06_Microsoft Word	25
30_03/24/2020	07_Microsoft Teams	0
30_03/24/2020	08_WhatsApp	0
30_03/24/2020	09_Adobe Premiere Pro 2020	0
30_03/24/2020	10_zoom.us	0
30_03/24/2020	11_Photoshop	0
30_03/24/2020	12_Adobe After Effects	0
30_03/24/2020	13_Sparkle	0
30_03/24/2020	14_Mail	0
30_03/24/2020	15_Acrobat Pro DC	36
30_03/24/2020	16_Adobe Illustrator 2020	0
30_03/24/2020	17_QuickTime Player	0
31_03/25/2020	01_Safari	37
31_03/25/2020	02_InDesign	0
31_03/25/2020	03_Finder	0
31_03/25/2020	04_Sublime Text	0
31_03/25/2020	05_Skype	34
31_03/25/2020	06_Microsoft Word	11
31_03/25/2020	07_Microsoft Teams	0
31_03/25/2020	08_WhatsApp	0
31_03/25/2020	09_Adobe Premiere Pro 2020	0
31_03/25/2020	10_zoom.us	0
31_03/25/2020	11_Photoshop	0
31_03/25/2020	12_Adobe After Effects	0
31_03/25/2020	13_Sparkle	0
31_03/25/2020	14_Mail	0
31_03/25/2020	15_Acrobat Pro DC	0
31_03/25/2020	16_Adobe Illustrator 2020	0
31_03/25/2020	17_QuickTime Player	0
32_03/26/2020	01_Safari	302
32_03/26/2020	02_InDesign	0
32_03/26/2020	03_Finder	45
32_03/26/2020	04_Sublime Text	78
32_03/26/2020	05_Skype	47
32_03/26/2020	06_Microsoft Word	75
32_03/26/2020	07_Microsoft Teams	1
32_03/26/2020	08_WhatsApp	6
32_03/26/2020	09_Adobe Premiere Pro 2020	0
32_03/26/2020	10_zoom.us	0
32_03/26/2020	11_Photoshop	3
32_03/26/2020	12_Adobe After Effects	0
32_03/26/2020	13_Sparkle	0
32_03/26/2020	14_Mail	2
32_03/26/2020	15_Acrobat Pro DC	3
32_03/26/2020	16_Adobe Illustrator 2020	0
32_03/26/2020	17_QuickTime Player	0
33_03/27/2020	01_Safari	12
33_03/27/2020	02_InDesign	0
33_03/27/2020	03_Finder	17
33_03/27/2020	04_Sublime Text	0
33_03/27/2020	05_Skype	177
33_03/27/2020	06_Microsoft Word	1
33_03/27/2020	07_Microsoft Teams	0
33_03/27/2020	08_WhatsApp	0
33_03/27/2020	09_Adobe Premiere Pro 2020	0
33_03/27/2020	10_zoom.us	0
33_03/27/2020	11_Photoshop	0
33_03/27/2020	12_Adobe After Effects	0
33_03/27/2020	13_Sparkle	0
33_03/27/2020	14_Mail	1
33_03/27/2020	15_Acrobat Pro DC	0
33_03/27/2020	16_Adobe Illustrator 2020	0
33_03/27/2020	17_QuickTime Player	0
34_03/28/2020	01_Safari	103
34_03/28/2020	02_InDesign	0
34_03/28/2020	03_Finder	7
34_03/28/2020	04_Sublime Text	0
34_03/28/2020	05_Skype	0
34_03/28/2020	06_Microsoft Word	15
34_03/28/2020	07_Microsoft Teams	0
34_03/28/2020	08_WhatsApp	0
34_03/28/2020	09_Adobe Premiere Pro 2020	0
34_03/28/2020	10_zoom.us	0
34_03/28/2020	11_Photoshop	0
34_03/28/2020	12_Adobe After Effects	0
34_03/28/2020	13_Sparkle	0
34_03/28/2020	14_Mail	17
34_03/28/2020	15_Acrobat Pro DC	1
34_03/28/2020	16_Adobe Illustrator 2020	0
34_03/28/2020	17_QuickTime Player	0
35_03/29/2020	01_Safari	66
35_03/29/2020	02_InDesign	0
35_03/29/2020	03_Finder	16
35_03/29/2020	04_Sublime Text	56
35_03/29/2020	05_Skype	0
35_03/29/2020	06_Microsoft Word	0
35_03/29/2020	07_Microsoft Teams	9
35_03/29/2020	08_WhatsApp	0
35_03/29/2020	09_Adobe Premiere Pro 2020	0
35_03/29/2020	10_zoom.us	0
35_03/29/2020	11_Photoshop	0
35_03/29/2020	12_Adobe After Effects	0
35_03/29/2020	13_Sparkle	0
35_03/29/2020	14_Mail	2
35_03/29/2020	15_Acrobat Pro DC	0
35_03/29/2020	16_Adobe Illustrator 2020	0
