Giorno	Categoria	Click
03/01/2020	Programmi Adobe	940
03/01/2020	Editor di codice	
03/01/2020	Browser	236
03/01/2020	App di sistema	543
03/01/2020	App di comunicazione	
03/01/2020	Altro	159
03/02/2020	Programmi Adobe	66
03/02/2020	Editor di codice	
03/02/2020	Browser	766
03/02/2020	App di sistema	1347
03/02/2020	App di comunicazione	
03/02/2020	Altro	849
03/03/2020	Programmi Adobe	
03/03/2020	Editor di codice	
03/03/2020	Browser	938
03/03/2020	App di sistema	103
03/03/2020	App di comunicazione	
03/03/2020	Altro	709
03/04/2020	Programmi Adobe	19
03/04/2020	Editor di codice	
03/04/2020	Browser	794
03/04/2020	App di sistema	758
03/04/2020	App di comunicazione	
03/04/2020	Altro	1458
03/05/2020	Programmi Adobe	
03/05/2020	Editor di codice	854
03/05/2020	Browser	1132
03/05/2020	App di sistema	574
03/05/2020	App di comunicazione	
03/05/2020	Altro	549
03/06/2020	Programmi Adobe	
03/06/2020	Editor di codice	
03/06/2020	Browser	
03/06/2020	App di sistema	
03/06/2020	App di comunicazione	
03/06/2020	Altro	
03/07/2020	Programmi Adobe	670
03/07/2020	Editor di codice	
03/07/2020	Browser	396
03/07/2020	App di sistema	1697
03/07/2020	App di comunicazione	
03/07/2020	Altro	79
03/08/2020	Programmi Adobe	319
03/08/2020	Editor di codice	1
03/08/2020	Browser	44
03/08/2020	App di sistema	562
03/08/2020	App di comunicazione	
03/08/2020	Altro	174
03/09/2020	Programmi Adobe	75
03/09/2020	Editor di codice	396
03/09/2020	Browser	1840
03/09/2020	App di sistema	276
03/09/2020	App di comunicazione	
03/09/2020	Altro	466
03/10/2020	Programmi Adobe	54
03/10/2020	Editor di codice	
03/10/2020	Browser	63
03/10/2020	App di sistema	256
03/10/2020	App di comunicazione	
03/10/2020	Altro	86
03/11/2020	Programmi Adobe	
03/11/2020	Editor di codice	
03/11/2020	Browser	28
03/11/2020	App di sistema	305
03/11/2020	App di comunicazione	
03/11/2020	Altro	102
03/12/2020	Programmi Adobe	359
03/12/2020	Editor di codice	
03/12/2020	Browser	18
03/12/2020	App di sistema	218
03/12/2020	App di comunicazione	
03/12/2020	Altro	5
03/13/2020	Programmi Adobe	5
03/13/2020	Editor di codice	
03/13/2020	Browser	29
03/13/2020	App di sistema	72
