day	app	value
15_03/01/2020	Adobe Illustrator CC 2018	5
15_03/01/2020	FaceTime	0
15_03/01/2020	Firefox	0
15_03/01/2020	Google Chrome	0
15_03/01/2020	InDesign CC	0
15_03/01/2020	Keynote	0
15_03/01/2020	Lightroom	10
15_03/01/2020	Mail	0
15_03/01/2020	Microsoft PowerPoint	0
15_03/01/2020	Microsoft Teams	0
15_03/01/2020	Pages	0
15_03/01/2020	Photoshop CC	362
15_03/01/2020	Safari	163
15_03/01/2020	Skype	0
15_03/01/2020	Sublime Text	0
15_03/01/2020	WhatsApp	0
15_03/01/2020	iMovie	0
15_03/01/2020	zoom.us	0
16_03/02/2020	Adobe Illustrator CC 2018	73
16_03/02/2020	FaceTime	0
16_03/02/2020	Firefox	8
16_03/02/2020	Google Chrome	0
16_03/02/2020	InDesign CC	0
16_03/02/2020	Keynote	0
16_03/02/2020	Lightroom	45
16_03/02/2020	Mail	0
16_03/02/2020	Microsoft PowerPoint	0
16_03/02/2020	Microsoft Teams	0
16_03/02/2020	Pages	0
16_03/02/2020	Photoshop CC	11
16_03/02/2020	Safari	199
16_03/02/2020	Skype	0
16_03/02/2020	Sublime Text	0
16_03/02/2020	WhatsApp	0
16_03/02/2020	iMovie	0
16_03/02/2020	zoom.us	0
17_03/03/2020	Adobe Illustrator CC 2018	0
17_03/03/2020	FaceTime	0
17_03/03/2020	Firefox	0
17_03/03/2020	Google Chrome	0
17_03/03/2020	InDesign CC	0
17_03/03/2020	Keynote	0
17_03/03/2020	Lightroom	7
17_03/03/2020	Mail	0
17_03/03/2020	Microsoft PowerPoint	0
17_03/03/2020	Microsoft Teams	0
17_03/03/2020	Pages	0
17_03/03/2020	Photoshop CC	56
17_03/03/2020	Safari	224
17_03/03/2020	Skype	0
17_03/03/2020	Sublime Text	0
17_03/03/2020	WhatsApp	0
17_03/03/2020	iMovie	0
17_03/03/2020	zoom.us	0
18_03/04/2020	Adobe Illustrator CC 2018	103
18_03/04/2020	FaceTime	0
18_03/04/2020	Firefox	0
18_03/04/2020	Google Chrome	0
18_03/04/2020	InDesign CC	0
18_03/04/2020	Keynote	0
18_03/04/2020	Lightroom	0
18_03/04/2020	Mail	0
18_03/04/2020	Microsoft PowerPoint	0
18_03/04/2020	Microsoft Teams	0
18_03/04/2020	Pages	36
18_03/04/2020	Photoshop CC	21
18_03/04/2020	Safari	97
18_03/04/2020	Skype	0
18_03/04/2020	Sublime Text	0
18_03/04/2020	WhatsApp	2
18_03/04/2020	iMovie	0
18_03/04/2020	zoom.us	0
19_03/05/2020	Adobe Illustrator CC 2018	134
19_03/05/2020	FaceTime	0
19_03/05/2020	Firefox	0
19_03/05/2020	Google Chrome	12
19_03/05/2020	InDesign CC	0
19_03/05/2020	Keynote	0
19_03/05/2020	Lightroom	0
